Subject,Type,Professor,Group,Classroom,Duration
Compiler Design,P,Dr. Devesh Pratap Singh,"['301', '302', '303', '304', '305']",n,2
Software Engineering,P,Dr. Neha Tripathi,"['301', '302', '303', '304', '305']",k,2
Computer Networks-I,P,Dr. Sumit Pundir,"['301', '302', '303', '304', '305']",n,2
Full Stack Web Development,V,Dr. Manish Shrama,"['301', '302', '303', '304', '305']",r,2
Career Skills (QAR/Verbal/ Soft Skills),P,Mr. Saurabh Rawat/Mr. Okesh Chhabra/Dr. Gopal Krishna,"['301', '302', '303', '304', '305']",n,2
Competitive Programming,V,Mr. Akshay Rajput,"['301', '302', '303', '304', '305']",r,2
Image Processing and Computer Vision ,V,Dr. Manoj Diwakar,"['301', '302', '303', '304', '305']",r,2
Image Processing and Computer Vision,P, Dr. Vikas Tripathi,"['301', '302', '303', '304', '305']",n,2
Devops on Cloud,V,Ms. Sarishma,"['301', '302', '303', '304', '305']",r,2
Devops on Cloud,V,Dr. Vijay Singh ,"['301', '302', '303', '304', '305']",n,2
Bigdata storage and Processing,V,Mr. Prabhdeep Singh,"['301', '302', '303', '304', '305']",r,2
Network and System Security,V,Dr. Mohammad Wazid,"['301', '302', '303', '304', '305']",r,2
Compiler Design Lab,P,Ms. Vishu Tyagi,"['301', '302', '303', '304', '305']",n,2
"	
Compiler Design Lab",P,Mr. Ashwini Kumar,"['301', '302', '303', '304', '305']",r,2
Software Engineering Lab,V,Dr. Neha Tripathi ,"['301', '302', '303', '304', '305']",r,2
Web Development Lab,V,"	
Dr. Manish Sharma","['301', '302', '303', '304', '305']",r,2
Computer Networks-I,P,Dr. Jay Bhatnagar,"['301', '302', '303', '304', '305']",n,2
Compiler Design Lab,V,"	
Dr. Priya Matta","['301', '302', '303', '304', '305']",r,2
"Software Engineering Lab
",P, Dr. A. Suresh,"['301', '302', '303', '304', '305']",n,2
Software Engineering Lab,V,Dr. Surendra Kumar Shukla,"['306', '307', '309']",r,2
Web Development Lab,V,Dr. Parul Madan ,"['306', '307', '309']",r,2
Web Development Lab,V, Mr. Arnav Kotiyal,"['306', '307', '309']",r,2
Software Engineering Lab,V,Mr. Prabhdeep Singh,"['306', '307', '309']",r,2
Compiler Design ,V,"	
Dr. Guruprasad","['306', '307', '309']",r,2
"	
Computer Networks-I",P,Ms. Vishu Tyagi,"['306', '307', '309']",r,2
Compiler Design Lab,V,Dr. Ankur Choudhary ,"['306', '307', '309']",r,2
"	
Full Stack Web Development",P,Mr. Yuvraj Joshi,"['306', '307', '309']",r,3
Web Development Lab,V,Mr. Yuvraj Joshi,"['306', '307', '309']",r,2
Software Engineering Lab,P,Dr. Surendra Kumar Shukla,"['306', '307', '309']",n,3
Compiler Design,V,"	
Mr. Ankit Tomer","['306', '307', '309']",r,2
Computer Networks-I,P,Dr. Akansha Gupta,"['306', '307', '309']",n,2
Compiler Design Lab,V,Mr. Ankit Tomer,"['306', '307', '309']",r,2
Software Engineering Lab,V,Dr. Prakash Srivastava ,"['306', '307', '309']",r,2
Full Stack Web Development,P,Mr. Sanjeev Kukreti,"['306', '307', '309']",r,2
Software Engineering Lab,V,Dr. Santosh Kumar ,"['306', '307', '309']",r,2
Software Engineering Lab,P, Ms. Anchal Rawat,"['306', '307', '309']",n,3
Web Development Lab,V,Mr. Arnav Kotiyal ,"['306', '307', '309']",a,3
Web Development Lab,P,Mr. Sanjeev Kukreti,"['306', '307', '309']",s,3
Compiler Design,V,Mr. Priyank Pandey,"['306', '307', '309']",s,3
Software Engineering Lab,P,Dr. Jyoti Agarwal,['3d1'],n,3
Web Development Lab,V,Dr. Noor Mohd,['3d1'],n,3
Security in Social Networks ,P,Mr. Ashwini Kumar,['3d1'],a,3
Bigdata Storage and Processing,V,Mr. Prabhdeep Singh,['3d1'],n,2
Cloud Computing Technologies ,P,Ms. Sarishma,['3s1'],r,3
Compiler Design Lab,P,Mr. Priyank Pandey ,['3s1'],r,3
Compiler Design Lab,P, Mr. Yogesh Lohumi,['3s1'],r,3
Compiler Design,P,Dr. Guruprasad,['3s1'],r,3
Compiler Design Lab,P,Dr. Ankur Choudhary,['3s1'],r,3
Web Development Lab,V,Ms. Tanusha Mittal ,['3s1'],r,3
Web Development Lab,P,Mr. Sanjay Roka,"['3s1', '3s2']",n,2
